기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수
20234,D,발달상권,3120104,연남동(홍대),4864199,2118806,2745393,465284,1495699,1083580,768425,496124,555085,963088,832131,661787,754227,1053474,599492,670292,666197,674292,677487,711264,763726,700942
20234,D,발달상권,3120103,홍대입구역(홍대),4448802,2122152,2326648,511791,1925243,909148,500781,300071,301768,866572,597615,579638,714584,1058175,632217,579902,558971,567341,580385,657348,796332,708523
20234,D,발달상권,3120096,"이화여대(이대역, 이대)",1495034,509505,985531,112061,741492,246903,136190,120639,137750,403401,314059,176396,175411,239193,186575,211714,214165,215124,214867,214198,216986,207980
20234,D,발달상권,3120094,"신촌역(신촌역, 신촌로터리)",7237508,3179205,4058303,673811,3476359,1137707,706183,573996,669452,1255256,1229314,1042391,1119627,1663931,926993,980425,1007303,1019266,1022835,1080859,1123902,1002916
20234,D,발달상권,3120093,연희동,594303,267691,326613,50841,192657,103257,83800,68757,94992,124583,115491,83781,84250,113917,72280,82612,84424,84132,84935,85578,88578,84042
20234,A,골목상권,3110582,이대역 5번,456828,189158,267670,44835,153541,78499,61328,50330,68296,137607,98149,49339,46905,65685,59142,64540,64469,64156,64352,63842,67609,67860
20234,A,골목상권,3110580,양원초등학교,880004,386142,493864,112420,226016,152399,137380,106963,144827,246113,179324,96592,98922,139912,119143,126498,125997,125301,123963,124871,126369,127007
20234,A,골목상권,3110569,홍대땡땡거리,831348,374627,456720,73301,321675,146255,100391,85765,103961,203897,162821,105192,107155,149332,102953,114160,115213,117420,115990,118987,126151,123427
20234,A,골목상권,3110566,경의선책거리,1534506,669292,865214,170585,550562,320484,205750,129999,157126,250810,264923,229844,264970,345647,178312,206912,207036,211193,211276,222403,244948,230737
20234,A,골목상권,3110526,봉원사,148256,52258,95999,19223,60263,21111,14493,14481,18685,30732,36049,24098,22258,21054,14064,22161,22985,23512,23475,21659,17574,16890
20234,A,골목상권,3110520,경의중앙 신촌역,652132,247927,404206,53620,328258,99288,58052,53019,59895,133446,125314,87352,92007,132263,81753,90205,92868,93576,93259,93152,95552,93521
20234,A,골목상권,3110511,연희초등학교,935769,467188,468580,73034,448946,133526,94057,74816,111389,273271,200779,104422,98097,138309,120891,134671,136096,136093,136167,132766,130003,129974
20234,A,골목상권,3110509,연희대우아파트앞,839466,353558,485909,76534,302369,162658,107798,85973,104135,244222,174716,92263,92265,129528,106472,118563,115775,116219,116465,116955,128031,127457
20233,D,발달상권,3120104,연남동(홍대),4765925,2080926,2684999,460086,1456007,1067283,755877,479131,547543,946589,818723,652653,737922,1026205,583835,664026,667242,673622,665482,686867,730593,678093
20233,D,발달상권,3120103,홍대입구역(홍대),4256543,2015684,2240859,493103,1850184,878664,468596,281725,284270,834309,571629,553974,681800,1012702,602130,551638,545000,559584,565047,624140,750203,660929
20233,D,발달상권,3120096,"이화여대(이대역, 이대)",1403879,489806,914073,113075,669864,230949,135206,119011,135774,369866,291011,169390,169521,229431,174660,201490,202596,203203,199031,196729,199796,201034
20233,D,발달상권,3120094,"신촌역(신촌역, 신촌로터리)",6792938,3089142,3703797,733178,3175869,1089280,650134,527970,616507,1135795,1160061,998796,1070032,1574653,853599,950369,960537,974482,949653,978947,1037347,941604
20233,D,발달상권,3120093,연희동,541169,245807,295360,44984,175805,95452,74802,62343,87781,112752,104709,76722,76106,104677,66203,76986,78053,76768,76538,76712,78933,77180
20233,A,골목상권,3110582,이대역 5번,488084,199419,288665,44886,163255,84262,66413,55455,73815,148074,102637,51366,49229,71349,65432,69383,69162,68844,68416,67328,70994,73956
20233,A,골목상권,3110580,양원초등학교,864433,389016,475418,118441,211242,152993,130163,105953,145641,238884,176033,95561,97694,138890,117370,124358,124844,122940,122107,121333,122613,126237
20233,A,골목상권,3110569,홍대땡땡거리,801672,370975,430698,77137,297913,146622,96871,81632,101498,192499,157720,103196,104594,145281,98380,111477,112315,113096,110876,112351,120377,121179
20233,A,골목상권,3110566,경의선책거리,1497507,658780,838728,171425,528779,315725,205350,124496,151731,246318,262570,223646,254333,336172,174470,203171,205668,207583,206175,213517,235824,225569
20233,A,골목상권,3110526,봉원사,134550,48459,86091,18351,49558,20822,13908,13384,18527,28283,32779,21983,20125,18772,12609,21143,21167,21126,20451,19370,15596,15696
20233,A,골목상권,3110520,경의중앙 신촌역,567396,221823,345573,50991,275640,88899,52015,47319,52530,108014,107925,79083,83403,118487,70484,79876,81019,81085,79146,79626,83018,83625
20233,A,골목상권,3110511,연희초등학교,878771,441019,437752,69792,405790,131355,87567,75033,109236,254504,187430,98489,92756,130456,115138,128322,128833,128173,125470,121742,119927,126307
20233,A,골목상권,3110509,연희대우아파트앞,804695,343791,460905,78148,281110,159291,105711,81310,99125,232330,165331,89571,90051,125112,102300,112511,112162,112250,112673,113001,119485,122612
20232,D,발달상권,3120104,연남동(홍대),4861686,2133323,2728361,441385,1486655,1091132,772491,501584,568440,995266,845750,651014,729041,1034771,605843,666470,670742,679009,686204,714770,755063,689426
