기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
20231,A,골목상권,3110509,연희대우아파트앞,CS100001,한식음식점,1317549488,56227,1016478145,301071343,108549022,178430295,343259647,109434552,276804629,140113909,160957434,19694289,33995661,477102270,162665876,255402093,368689299,553023471,671422516,13381724,147271127,134728971,120958659,232736016,575369486,38798,17429,6933,7070,8264,7975,8556,7784,9645,2098,3096,24024,10316,13892,2801,32571,20951,1900,11115,10206,7777,13349,9178
20231,A,골목상권,3110509,연희대우아파트앞,CS100004,양식음식점,31509819,1978,21568137,9941682,1800378,2928825,5815613,6063670,4959651,6728919,3212763,0,0,13284076,5550682,11785518,889543,12394602,17484522,924326,11760674,9045434,2715142,3508930,1924617,1283,695,151,129,335,381,287,396,299,0,0,750,396,747,85,830,1088,52,838,547,170,233,78
20231,A,골목상권,3110509,연희대우아파트앞,CS100005,제과점,1884557,337,1683862,200695,158967,358074,778939,135123,252759,200695,0,0,411327,296076,536516,640638,0,470941,1246701,0,1120720,282564,69548,177248,67561,251,86,36,40,79,32,64,86,0,0,16,48,127,146,0,60,273,0,250,44,4,32,4
20231,A,골목상권,3110509,연희대우아파트앞,CS100006,패스트푸드점,135679432,16466,101670815,34008617,20147060,18103715,21401274,21592548,20426218,17893212,16115405,0,6425752,36461214,27872974,46264135,18655357,64815742,64835974,4476219,51355680,35166131,18008266,14658273,5987147,12369,4097,2454,2216,2606,2565,2528,2148,1949,0,835,4402,3435,5689,2105,7498,8680,602,6502,4250,2293,1828,702
20231,A,골목상권,3110509,연희대우아파트앞,CS100007,치킨전문점,75077630,6970,58291826,16785804,9752228,12557442,10477007,12872881,12632268,9937090,6848714,908173,0,0,6669720,47238225,20261512,32078157,42999473,3108579,25765884,22180922,9351551,11211935,3458759,5473,1497,968,1189,1012,1218,1086,954,543,88,0,0,821,4197,1864,2636,4334,402,2650,1922,819,924,253
20231,A,골목상권,3110509,연희대우아파트앞,CS100008,분식전문점,7109258,265,4687998,2421260,499553,902096,1221630,922599,1142120,1829696,591564,2264742,243526,121513,439547,1650175,2389755,3461369,3033824,139015,1649176,1221130,1316141,1752687,417045,175,90,20,40,45,35,35,60,30,85,10,5,20,55,90,130,110,5,65,45,40,65,20
20231,A,골목상권,3110509,연희대우아파트앞,CS100010,커피-음료,433262809,76059,288797428,144465381,58271634,61460327,52759800,57656579,58649088,78546312,65919069,0,45574279,119991021,118010226,127370453,22316830,155459014,263030689,13740602,177359108,112621936,49674820,44649521,20443718,52179,23880,10532,11233,9870,10124,10420,12489,11391,0,9856,20564,20761,21193,3685,28816,46346,2454,31527,21403,8879,7764,3138
20231,A,골목상권,3110509,연희대우아파트앞,CS200007,치과의원,623166050,3677,596430747,26735303,107504813,100957750,133179905,144529598,110258681,26735303,0,0,89534430,158247360,261522449,113861811,0,373829458,249336592,1648589,10300867,81111854,127507832,267168803,135428105,3598,79,804,645,658,884,607,79,0,0,679,804,1428,766,0,1836,1841,31,205,460,705,1334,942
20231,A,골목상권,3110509,연희대우아파트앞,CS200028,미용실,23798011,851,19159982,4638029,5778210,4836679,3150135,3684262,1710696,3554626,1083403,0,3649203,5218627,5749536,8252912,927733,11521218,11844374,141322,5741539,5964736,3658559,6450544,1408891,631,220,135,175,157,88,76,159,61,0,70,216,191,357,17,494,352,14,279,200,99,189,65
20231,A,골목상권,3110509,연희대우아파트앞,CS300001,슈퍼마켓,743045688,71073,533431031,209614657,102388793,104751912,106397021,103953810,115939495,117246616,92368041,54807675,49860758,97379703,124870532,276114814,140012206,353756016,372839460,3351513,203784168,200124319,128205462,105532120,85597893,51349,19724,10201,10297,10230,9909,10712,10442,9282,6532,5752,9305,11310,24150,14024,35196,35389,645,20564,20781,11534,9489,7572
